ST_CASE,YEAR,STATE,COUNTY,FATALS,A_CRAINJ,A_REGION,A_RU,A_INTER,A_RELRD,A_INTSEC,A_ROADFC,A_JUNC,A_MANCOL,A_TOD,A_DOW,A_CT,A_WEATHER,A_LT,A_MC,A_SPCRA,A_PED,A_PED_F,A_PEDAL,A_PEDAL_F,A_ROLL,A_POLPUR,A_POSBAC,A_D15_19,A_D16_19,A_D15_20,A_D16_20,A_D65PLS,A_D21_24,A_D16_24,A_RD,A_HR,A_DIST,A_DROWSY,BIA,SPJ_INDIAN,INDIAN_RES
61837,2020,6,47,1,1,9,1,2,1,1,5,1,4,1,1,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,0,0,0
61838,2020,6,37,1,1,9,2,1,1,2,1,2,1,2,2,1,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
61839,2020,6,73,2,1,9,2,1,4,2,1,2,1,2,2,1,1,2,2,1,2,2,2,2,2,2,1,1,1,1,1,2,2,1,1,2,2,2,0,0,0
61841,2020,6,71,2,1,9,1,1,1,2,1,2,3,2,2,2,1,2,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,1,2,2,1,0,0,0
61842,2020,6,65,1,1,9,2,2,1,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0
61843,2020,6,61,1,1,9,1,2,4,2,5,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
61845,2020,6,101,1,1,9,1,2,4,2,3,2,1,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
61846,2020,6,1,2,1,9,2,1,1,2,1,2,2,2,1,2,13,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,0,0,0
61847,2020,6,39,1,1,9,1,2,1,2,5,2,4,2,2,2,1,2,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0
61848,2020,6,79,1,1,9,2,2,1,2,2,2,1,2,1,1,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
61849,2020,6,71,1,1,9,2,1,2,2,1,3,1,1,1,1,1,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
61850,2020,6,77,1,1,9,2,2,1,2,2,2,1,2,2,2,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,1,2,2,0,0,0
61851,2020,6,77,1,1,9,2,1,4,2,1,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,1,1,1,2,2,2,0,0,0
61852,2020,6,67,1,1,9,2,1,1,2,1,2,2,1,1,2,1,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0
61853,2020,6,77,1,1,9,1,1,2,2,1,2,3,2,1,2,1,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
61854,2020,6,99,1,1,9,1,2,1,2,3,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
61855,2020,6,37,1,1,9,2,1,1,2,1,2,4,2,2,2,13,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
61856,2020,6,13,1,1,9,2,2,1,2,2,2,1,3,3,1,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,0,0,0
61857,2020,6,29,1,1,9,2,2,1,2,3,2,4,2,2,2,1,2,1,2,2,2,2,2,2,2,3,2,2,1,1,2,2,1,2,2,2,2,0,0,0
61858,2020,6,29,1,1,9,1,2,1,1,5,1,4,1,1,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
61859,2020,6,29,1,1,9,2,2,1,2,5,2,1,2,2,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,0,0,0
61860,2020,6,73,1,1,9,2,2,4,2,3,2,1,3,2,1,13,2,1,2,2,2,2,2,2,2,3,2,2,2,2,2,1,1,1,2,2,2,0,0,0
61861,2020,6,59,1,1,9,2,2,1,2,2,2,3,2,2,3,1,2,2,2,2,2,2,2,2,2,3,1,1,1,1,1,2,1,2,2,2,2,0,0,0
61862,2020,6,71,1,1,9,2,2,1,2,2,2,5,2,1,2,1,2,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
61863,2020,6,65,1,1,9,2,2,4,2,6,2,1,2,1,1,1,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
61864,2020,6,29,1,1,9,1,2,4,2,3,2,1,1,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
61865,2020,6,29,1,1,9,2,2,4,2,5,2,1,2,1,1,1,2,2,1,2,2,2,2,1,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
61866,2020,6,81,1,1,9,2,2,1,2,2,2,6,1,2,3,1,2,1,1,2,2,2,2,2,2,3,2,2,2,2,2,1,1,2,2,2,2,0,0,0
61867,2020,6,67,1,1,9,1,2,4,1,6,1,1,1,1,1,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
61868,2020,6,93,1,1,9,1,1,4,2,1,2,1,1,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,0,0,0
61869,2020,6,19,2,1,9,1,2,1,1,5,1,4,1,1,2,1,1,2,2,2,2,2,2,2,2,3,1,1,1,1,2,2,1,2,2,2,2,0,0,0
61870,2020,6,19,1,1,9,2,2,4,2,2,3,1,1,1,3,1,2,2,2,2,2,2,2,1,2,3,2,2,2,2,1,2,2,1,2,2,2,0,0,0
61871,2020,6,73,1,1,9,2,2,1,2,2,2,1,2,2,1,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,1,2,2,0,0,0
61872,2020,6,89,1,1,9,1,2,1,2,4,2,1,1,1,3,1,1,2,1,2,2,2,2,2,2,3,2,2,2,2,1,1,1,2,2,2,2,0,0,0
61873,2020,6,7,1,1,9,2,2,1,1,4,1,1,1,1,1,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
61874,2020,6,67,1,1,9,2,1,1,2,1,3,1,2,1,1,2,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
61875,2020,6,77,1,1,9,2,1,1,2,1,3,1,2,1,2,1,2,2,1,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
61876,2020,6,37,1,1,9,1,2,4,2,5,2,1,2,1,1,1,2,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
61877,2020,6,73,1,1,9,2,2,1,2,2,2,1,2,1,1,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,1,1,2,2,2,2,0,0,0
61878,2020,6,69,1,1,9,1,2,4,2,5,2,1,3,2,1,1,2,2,2,2,2,2,2,1,2,3,2,2,2,2,1,2,2,1,2,2,2,0,0,0
61879,2020,6,113,1,1,9,1,2,1,2,5,2,5,1,1,2,1,2,2,1,2,2,2,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
61880,2020,6,113,1,1,9,2,2,1,2,6,2,1,1,1,1,1,2,2,2,2,2,1,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
61881,2020,6,19,1,1,9,1,2,4,2,5,2,1,1,2,1,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
61882,2020,6,19,1,1,9,1,2,1,2,4,3,4,2,1,2,1,1,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,0,0,0
61883,2020,6,69,1,1,9,1,2,4,1,4,1,1,2,2,1,1,2,2,1,2,2,2,2,1,2,3,1,1,1,1,2,2,1,1,2,2,2,0,0,0
61884,2020,6,65,1,1,9,2,2,1,1,6,1,1,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0
61885,2020,6,57,1,1,9,2,2,1,2,3,2,3,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,1,2,0,0,0
61886,2020,6,37,1,1,9,2,2,1,2,5,2,1,2,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0
61887,2020,6,67,2,1,9,2,2,4,1,5,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,1,1,2,2,2,0,0,0
61888,2020,6,67,1,1,9,1,1,1,2,1,3,2,1,1,3,1,1,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
61889,2020,6,67,1,1,9,2,2,1,1,4,1,1,2,2,1,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,1,2,2,0,0,0
61890,2020,6,59,1,1,9,2,2,1,1,4,1,3,1,1,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
61891,2020,6,71,1,1,9,2,2,1,2,3,2,3,2,2,2,1,1,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
61892,2020,6,37,1,1,9,2,2,1,2,5,2,1,2,2,1,1,2,2,1,2,2,1,1,2,2,3,2,2,2,2,2,2,2,2,1,2,2,0,0,0
61893,2020,6,65,1,1,9,2,2,4,2,5,2,1,1,2,1,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
61894,2020,6,59,1,1,9,2,2,1,1,3,1,4,1,1,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,0,0,0
61895,2020,6,33,1,1,9,1,2,1,2,4,2,3,1,1,3,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
61896,2020,6,73,1,1,9,2,1,4,2,1,2,1,1,2,1,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
61897,2020,6,37,1,1,9,2,2,1,1,5,1,1,2,2,1,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,1,2,2,0,0,0
61899,2020,6,67,1,1,9,2,2,3,2,3,2,1,2,1,1,1,2,2,1,2,2,2,2,2,2,1,1,1,1,1,2,2,1,1,2,2,2,0,0,0
61900,2020,6,67,1,1,9,2,2,1,2,3,2,1,1,1,1,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,0,0,0
61901,2020,6,19,1,1,9,1,2,4,2,5,2,1,1,1,1,13,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
61902,2020,6,19,1,1,9,1,2,4,2,6,2,1,2,1,1,1,2,2,1,2,2,2,2,1,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
61903,2020,6,37,1,1,9,2,2,1,2,2,3,3,2,1,3,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,1,1,2,2,2,2,0,0,0
61904,2020,6,45,1,1,9,1,2,1,2,5,2,1,2,1,1,1,2,2,2,2,2,2,2,1,2,3,2,2,1,1,2,2,1,1,2,2,2,0,0,0
61905,2020,6,99,2,1,9,1,1,4,2,1,2,1,2,2,1,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
61907,2020,6,87,1,1,9,2,2,1,1,4,1,4,1,1,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,0,0,0
61908,2020,6,71,1,1,9,2,2,1,2,2,3,2,2,2,2,1,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
61910,2020,6,67,1,1,9,2,2,1,2,2,2,1,1,1,1,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
61911,2020,6,77,1,1,9,1,2,1,2,3,2,3,2,2,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
61912,2020,6,77,1,1,9,1,2,1,1,5,1,4,1,1,2,1,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
61913,2020,6,39,1,1,9,1,2,4,2,3,2,1,1,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
61914,2020,6,79,1,1,9,1,2,4,2,5,2,1,2,1,1,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,2,2,1,2,2,2,0,0,0
61915,2020,6,71,1,1,9,2,1,1,2,1,2,1,2,1,1,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
61916,2020,6,47,1,1,9,1,2,1,1,5,1,4,2,2,3,12,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
61917,2020,6,77,1,1,9,2,2,1,1,3,1,1,1,2,1,1,2,2,2,2,2,1,1,2,2,3,2,2,2,2,1,2,2,2,2,2,2,0,0,0
61918,2020,6,37,1,1,9,2,2,1,1,5,1,4,1,2,2,13,2,1,2,2,2,2,2,2,2,3,2,2,2,2,1,1,1,2,2,2,2,0,0,0
61919,2020,6,65,1,1,9,2,2,1,1,5,1,4,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2,2,2,0,0,0
61920,2020,6,67,1,1,9,2,2,4,2,2,3,1,1,1,1,6,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,1,2,0,0,0
61921,2020,6,73,1,1,9,1,2,4,2,5,2,1,1,1,1,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
61922,2020,6,65,1,1,9,2,2,1,1,4,1,2,1,1,3,1,2,2,1,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,2,1,2,0,0,0
61923,2020,6,99,1,1,9,2,2,1,1,4,1,4,1,2,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,1,2,2,0,0,0
61924,2020,6,65,1,1,9,1,2,1,2,5,2,5,2,1,2,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0
61925,2020,6,65,1,1,9,2,2,1,2,4,2,1,2,1,1,1,2,2,1,2,2,1,1,2,2,3,2,2,2,2,2,2,2,2,1,2,2,0,0,0
61926,2020,6,71,1,1,9,1,2,1,2,6,2,3,1,1,2,1,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,1,1,1,2,2,2,0,0,0
61927,2020,6,59,1,1,9,2,2,1,2,3,2,1,2,2,1,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
61928,2020,6,73,1,1,9,1,2,1,2,4,2,5,1,1,2,1,2,2,1,2,2,2,2,1,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
61929,2020,6,77,1,1,9,2,2,1,2,5,2,1,1,1,1,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
61930,2020,6,19,1,1,9,2,2,1,2,2,2,1,2,2,1,1,1,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
61931,2020,6,37,1,1,9,2,2,4,2,4,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
61932,2020,6,65,1,1,9,2,2,1,2,3,2,1,2,1,1,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
61933,2020,6,65,1,1,9,2,2,1,2,3,2,2,1,1,3,1,1,1,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
61934,2020,6,71,1,1,9,2,2,1,2,2,2,1,2,2,1,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
61935,2020,6,33,1,1,9,2,2,1,2,3,2,1,1,1,1,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,1,2,2,0,0,0
61936,2020,6,71,1,1,9,2,2,1,2,2,2,1,2,1,1,1,1,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
61937,2020,6,57,1,1,9,1,2,4,2,4,2,1,2,1,1,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
61938,2020,6,37,1,1,9,2,2,1,2,6,2,1,1,1,1,1,1,2,2,2,2,1,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
61939,2020,6,35,1,1,9,1,2,4,2,3,2,1,3,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
61940,2020,6,5,2,1,9,1,2,1,2,3,2,3,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,0,0,0
61941,2020,6,73,1,1,9,2,2,1,2,2,2,4,2,1,2,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
61942,2020,6,85,1,1,9,2,2,4,1,5,1,1,2,2,1,1,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
61943,2020,6,59,1,1,9,2,2,4,1,5,1,1,2,1,1,13,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
61944,2020,6,29,1,1,9,2,2,1,1,6,1,4,1,1,2,1,2,1,1,2,2,2,2,2,2,3,2,2,2,2,1,1,1,2,2,2,2,0,0,0
61945,2020,6,57,1,1,9,1,1,4,2,1,2,1,2,1,1,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
61946,2020,6,19,1,1,9,2,2,3,2,2,2,1,2,2,1,1,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,1,1,1,2,2,1,0,0,0
61947,2020,6,19,1,1,9,2,2,4,2,2,2,1,1,1,1,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
61948,2020,6,1,1,1,9,2,1,4,2,1,3,1,1,2,2,1,2,2,1,2,2,2,2,1,2,3,2,2,2,2,2,1,1,1,2,2,2,0,0,0
61949,2020,6,31,2,1,9,1,2,4,2,3,2,1,3,1,1,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
61950,2020,6,99,1,1,9,2,2,1,2,2,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,0,0,0
61951,2020,6,99,1,1,9,2,2,4,1,5,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
61952,2020,6,25,1,1,9,1,2,1,1,3,1,4,2,1,2,1,2,2,2,2,2,2,2,2,2,3,1,1,1,1,2,2,1,2,2,2,2,0,0,0
61953,2020,6,77,1,1,9,1,2,1,2,6,3,2,2,1,2,1,2,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
61954,2020,6,29,1,1,9,1,2,1,1,5,1,2,1,1,2,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,0,0,0
61955,2020,6,31,1,1,9,1,2,4,2,5,2,1,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
61956,2020,6,73,1,1,9,2,2,1,2,4,2,1,2,2,1,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
61957,2020,6,113,1,1,9,1,2,4,2,5,2,1,1,1,1,13,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
61958,2020,6,107,1,1,9,1,2,1,2,5,2,1,2,1,1,1,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
61959,2020,6,1,1,1,9,2,2,1,1,3,1,4,2,2,2,1,2,2,1,2,2,2,2,2,2,3,1,1,1,1,2,1,1,2,2,2,2,0,0,0
61960,2020,6,111,1,1,9,2,2,4,1,4,1,1,2,1,1,1,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
61961,2020,6,37,1,1,9,2,2,1,2,5,3,4,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0
61962,2020,6,19,1,1,9,1,2,1,1,5,1,4,1,1,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,0,0,0
61963,2020,6,19,1,1,9,1,2,4,2,4,2,1,1,2,1,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
61964,2020,6,71,1,1,9,1,2,1,2,5,2,1,2,2,2,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
61965,2020,6,71,1,1,9,2,1,1,2,1,2,5,2,1,2,1,2,2,1,2,2,2,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
61966,2020,6,65,1,1,9,2,2,4,1,6,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
61967,2020,6,7,1,1,9,1,2,4,2,5,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,1,2,2,2,0,0,0
61968,2020,6,37,1,1,9,2,2,4,2,4,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,3,1,1,1,1,2,2,1,1,1,2,2,0,0,0
61969,2020,6,37,1,1,9,1,2,2,2,3,2,1,2,2,1,1,2,2,1,1,1,2,2,2,2,3,2,2,2,2,1,2,2,1,2,2,2,0,0,0
61970,2020,6,37,2,1,9,2,1,3,2,1,2,1,2,1,3,1,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,1,1,1,2,2,2,0,0,0
61971,2020,6,37,1,1,9,2,1,1,2,1,2,1,2,2,2,1,2,2,1,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,1,2,2,0,0,0
61972,2020,6,37,1,1,9,2,2,1,1,2,1,1,1,1,1,1,1,2,2,2,2,1,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
61973,2020,6,73,1,1,9,2,1,1,2,1,3,5,1,2,2,1,2,2,1,2,2,2,2,1,2,3,2,2,2,2,2,1,1,2,2,2,2,0,0,0
61974,2020,6,73,1,1,9,2,1,4,2,1,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,0,0,0
61975,2020,6,71,1,1,9,2,2,1,1,4,1,4,1,1,2,1,2,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
61976,2020,6,73,1,1,9,2,2,4,2,3,2,1,2,2,1,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,1,1,2,2,0,0,0
61978,2020,6,65,1,1,9,2,2,4,1,3,1,1,2,2,1,1,2,2,1,2,2,2,2,2,2,2,1,1,1,1,2,2,1,1,2,2,2,0,0,0
61979,2020,6,65,1,1,9,2,2,4,1,3,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,0,0,0
61980,2020,6,65,1,1,9,2,2,4,1,4,1,1,1,2,1,1,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
61981,2020,6,19,1,1,9,1,2,1,2,3,2,1,2,1,1,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
61982,2020,6,19,1,1,9,2,2,1,2,2,2,1,2,2,1,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
61983,2020,6,71,1,1,9,2,1,4,2,1,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
61984,2020,6,99,1,1,9,2,2,1,2,3,2,4,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
61985,2020,6,73,1,1,9,2,2,3,2,2,3,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
61986,2020,6,73,1,1,9,2,2,1,2,2,3,2,2,2,3,1,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
61987,2020,6,71,1,1,9,2,1,1,2,1,2,1,2,2,1,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
61988,2020,6,71,1,1,9,2,2,4,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
61989,2020,6,47,1,1,9,1,2,4,2,5,2,1,1,1,1,1,2,2,1,2,2,2,2,1,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
61990,2020,6,65,1,1,9,2,2,1,2,4,2,1,2,2,1,1,2,2,2,2,2,1,1,2,2,3,2,2,2,2,2,2,2,2,1,2,2,0,0,0
61991,2020,6,89,1,1,9,1,2,1,2,4,2,5,1,1,2,1,2,2,2,2,2,2,2,1,2,3,2,2,2,2,1,2,2,1,2,2,2,0,0,0
61992,2020,6,11,1,1,9,1,1,1,2,1,2,1,2,1,1,1,1,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
61993,2020,6,115,1,1,9,1,2,4,2,3,2,1,1,1,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
61994,2020,6,1,1,1,9,2,2,1,2,2,2,1,2,2,1,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
61995,2020,6,37,1,1,9,2,1,1,2,1,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,0,0,0
61997,2020,6,67,1,1,9,2,2,1,1,3,1,5,1,1,3,13,1,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
61998,2020,6,19,1,1,9,2,2,4,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
61999,2020,6,107,1,1,9,1,2,4,2,5,2,1,2,2,1,1,2,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
62000,2020,6,37,1,1,9,1,2,4,2,5,2,1,1,2,1,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,1,2,0,0,0
62001,2020,6,19,1,1,9,1,2,1,1,5,1,4,1,1,2,1,2,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
62002,2020,6,71,1,1,9,1,2,1,1,3,1,4,2,2,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
