Rank,Zip Code,Population
289,98576,"5,277"
290,98349,"5,272"
291,98851,"5,212"
292,98932,"5,109"
293,98359,"4,991"
294,98840,"4,895"
295,98365,"4,779"
296,99109,"4,743"
297,98844,"4,736"
298,98251,"4,706"
299,98640,"4,694"
300,99009,"4,677"
301,98570,"4,674"
302,98257,"4,513"
303,99323,"4,494"
304,98937,"4,483"
305,98237,"4,474"
306,98266,"4,373"
307,98935,"4,347"
308,98524,"4,326"
309,98051,"4,272"
310,99122,"4,269"
311,98249,"4,229"
312,99003,"4,147"
313,98245,"4,122"
314,99111,"4,057"
315,99357,"4,047"
316,98232,"4,030"
317,98831,"3,691"
318,98557,"3,650"
319,99328,"3,616"
320,98591,"3,582"
321,98333,"3,534"
322,98631,"3,458"
323,98857,"3,431"
324,99011,"3,343"
325,98240,"3,328"
326,98339,"3,304"
327,98648,"3,283"
328,98244,"3,244"
329,98601,"3,237"
330,98392,"3,231"
331,98612,"3,209"
332,98947,"3,172"
333,98261,"3,034"
334,98340,"3,017"
335,99166,"2,934"
336,98610,"2,932"
337,98039,"2,928"
338,98295,"2,927"
339,98546,"2,920"
340,98847,"2,780"
341,98595,"2,698"
342,98537,"2,688"
343,98564,"2,684"
344,99343,"2,660"
345,99169,"2,643"
346,98813,"2,642"
347,98856,"2,595"
348,98568,"2,549"
349,98862,"2,546"
350,98278,"2,515"
351,98938,"2,401"
352,99347,"2,367"
353,98356,"2,350"
354,99148,"2,318"
355,98253,"2,275"
356,98195,"2,259"
357,98548,"2,197"
358,99181,"2,143"
359,98645,"2,137"
360,98843,"2,066"
361,98377,"2,057"
362,98376,"2,044"
363,98828,"2,002"
364,98624,"1,994"
365,98952,"1,956"
366,98850,"1,924"
367,98635,"1,877"
368,98586,"1,863"
369,98241,"1,854"
370,98822,"1,831"
371,98314,"1,773"
372,98858,"1,747"
373,98325,"1,737"
374,99116,"1,706"
375,99361,"1,680"
376,99348,"1,657"
377,99110,"1,656"
378,99173,"1,638"
379,99101,"1,612"
380,98303,"1,564"
381,98638,"1,560"
382,99036,"1,549"
383,98357,"1,547"
384,98592,"1,543"
385,99119,"1,491"
386,98588,"1,490"
387,99360,"1,460"
388,98320,"1,456"
389,99402,"1,449"
390,99133,"1,440"
391,99013,"1,436"
392,98276,"1,397"
393,98207,"1,376"
394,98351,"1,375"
395,99161,"1,373"
396,99159,"1,341"
397,98342,"1,331"
398,98547,"1,317"
399,99031,"1,313"
400,98603,"1,307"
401,98447,"1,303"
402,98846,"1,277"
403,99115,"1,261"
404,99251,"1,258"
405,98593,"1,247"
406 TIE,98605,"1,245"
406 TIE,99155,"1,245"
408,99029,"1,240"
409,99185,"1,235"
410,98281,"1,210"
411,98933,"1,188"
412,98394,"1,186"
413,99330,"1,183"
414,98639,"1,177"
415,98849,"1,164"
416,99138,"1,152"
417,98650,"1,133"
418,98821,"1,131"
419,98304,"1,114"
420,98617,"1,100"
421,99012,"1,081"
422,98416,"1,057"
423,98934,"1,046"
424,98651,"1,035"
425,99123,"1,031"
426,99170,980
427,98421,950
428,99171,941
429,98326,931
430,98358,924
431,98262,887
432,98572,884
433,99023,883
434,99033,882
435,99032,826
436,99118,811
437,98587,810
438,98134,808
439,99139,806
440,98836,796
441 TIE,98355,792
441 TIE,98943,792
443 TIE,99180,791
443 TIE,99130,791
445,99040,778
446,99126,765
447,98923,760
448,99321,736
449,99167,732
450,98649,726
451,98941,703
452,98336,693
453,98814,690
454,98279,689
455,98542,669
456 TIE,99125,647
456 TIE,98829,647
458,98323,644
459,99143,640
460,99341,639
461 TIE,99157,633
461 TIE,99030,633
463,98644,628
464,99129,625
465,98396,620
466,98585,610
467,98619,609
468,98535,598
469,98556,592
470,99102,580
471,99158,579
472,98220,578
473,98438,576
474,99134,572
475,98613,560
476,99113,559
477 TIE,98068,551
477 TIE,98530,551
479,98925,547
480,99103,543
481,98590,539
482,98533,524
483,99117,516
484,99179,500
485,98283,499
486,99140,494
487,98673,489
488,99258,486
489,98830,482
490,98361,469
491,98385,462
492,98940,445
493,99153,424
494,98538,417
495,98643,414
496,99137,413
497,99135,406
498,98581,402
499,99008,401
500,98280,394
501,99401,386
502,99322,380
503,98235,368
504,98614,364
505,98555,350
506,98827,339
507,99346,337
508,98350,336
509,98256,328
510,99371,314
511,98946,310
512,98628,306
513,98565,303
514,98566,302
515,98305,298
516,99128,291
517,98834,278
518,99018,277
519,99121,272
520 TIE,98845,270
520 TIE,98345,270
520 TIE,98243,270
523,98255,262
524,99124,258
525,98860,257
